multa_id,patente,fecha,hora,velocidad_registrada,velocidad_maxima,ubicacion,radar_id,estado_multa,exceso_velocidad_real,exceso_velocidad,imagen,patente_imagen,ratio
3,WU341A,1932-01-01,09:01,107.0,60,AV LIBERTADOR,R03,PAGADA,47.0,44.0,,,
8,BP717,1932-01-01,08:01,70.0,60,AV SIEMPRE VIVA,R01,PAGADA,10.0,7.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/e1120bfe48f85c1b_patente.jpg,BP717,1.0
10,OUTSTDN,1932-01-01,14:01,71.0,40,AV LIBERTADOR,R02,APELADA,31.0,29.0,,,
17,5777770,1932-01-01,09:02,93.0,40,AV SIEMPRE VIVA,R02,APELADA,53.0,51.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/7f56adf4b9306ac9_patente.jpg,5777770,1.0
21,BHRP770,1932-01-01,08:01,71.0,60,RUTA 9,R03,PAGADA,11.0,8.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/321ffb38656f7311_patente.jpg,BHRP770,1.0
22,RFH373,2020-10-15,09:02,121.0,80,AV LIBERTADOR,R01,IMPAGA,41.0,37.0,,,
24,XIIUME,1932-01-01,08:01,52.0,40,AV SIEMPRE VIVA,R03,IMPAGA,12.0,10.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/64de505bd2bac82b.jpg,XIIUME,1.0
31,M431ZW,1932-01-01,14:01,123.0,60,RUTA 9,R03,PAGADA,63.0,60.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/299f0363ae21d1c3_patente.jpg,M431ZM,0.83
40,VTIIAHV,1932-01-01,09:03,71.0,60,AV LIBERTADOR,R03,APELADA,11.0,8.0,,,
41,6611172,1932-01-01,08:02,109.0,60,AV LIBERTADOR,R02,PAGADA,49.0,46.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/7a1f9520c7ecd5b1_patente.jpg,6611172,1.0
47,W326AVE,2020-05-28,00:00,70.0,60,RUTA 9,R01,IMPAGA,10.0,7.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/6c144e47161867c2_patente.jpg,W326AVE,1.0
50,GCP332,1932-01-01,08:02,66.0,40,AV SIEMPRE VIVA,R02,APELADA,26.0,24.0,,,
51,BB8986,2023-04-18,08:03,90.0,80,RUTA 9,R02,IMPAGA,10.0,6.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/7cbc7ee444622a66_patente.jpg,BB8986,1.0
53,HF58HXP,1932-01-01,09:04,50.0,40,AV SIEMPRE VIVA,R02,PAGADA,10.0,8.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/9a795bbf4e94d630_patente.jpg,HF5BHXP,0.86
57,NTHGLFT,1932-01-01,09:04,93.0,80,AV SIEMPRE VIVA,R02,PAGADA,13.0,9.0,,,
59,FD1475,1932-01-01,14:03,59.0,40,RUTA 9,R02,PAGADA,19.0,17.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/d8daed582e6cce2d_patente.jpg,FD147,0.83
60,FVIOUHP,1932-01-01,18:02,124.0,80,RUTA 9,R01,APELADA,44.0,40.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/28e26a4eb646c67a_patente.jpg,FVIDUHP,0.86
64,M431ZW,1932-01-01,09:04,86.0,80,RUTA 9,R01,APELADA,6.0,2.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/299f0363ae21d1c3_patente.jpg,M431ZM,0.83
66,NTHGLFT,1932-01-01,08:04,152.0,80,RUTA 9,R03,IMPAGA,72.0,68.0,,,
69,VNK296GP,1932-01-01,18:02,77.0,40,RUTA 9,R03,IMPAGA,37.0,35.0,,,
71,RFH373,2021-07-14,09:05,116.0,80,AV LIBERTADOR,R01,PAGADA,36.0,32.0,,,
72,HK06YMX,1932-01-01,14:03,104.0,60,AV SIEMPRE VIVA,R02,PAGADA,44.0,41.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/9a4fe6361597f264_patente.jpg,HKO6YMX,0.86
75,W326AVE,1932-01-01,00:00,57.0,40,AV LIBERTADOR,R01,PAGADA,17.0,15.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/6c144e47161867c2_patente.jpg,W326AVE,1.0
77,B81JKY,1932-01-01,00:00,83.0,40,RUTA 9,R01,PAGADA,43.0,41.0,,,
81,8B90638,1932-01-01,18:03,108.0,60,AV SIEMPRE VIVA,R03,IMPAGA,48.0,45.0,,,
82,5777770,1932-01-01,09:05,60.0,40,AV SIEMPRE VIVA,R01,PAGADA,20.0,18.0,/content/urban_flow/data/raw/imgs/urban_flow_plates/7f56adf4b9306ac9_patente.jpg,5777770,1.0
91,INTIGR8,1932-01-01,00:00,148.0,80,AV LIBERTADOR,R01,PAGADA,68.0,64.0,,,
